DatTime,MediaTime,LonAccel,LatAccel,Throttle,Brake,Gear,Heading,HeadwayDistance,HeadwayTime,Lane,LaneOffset,RoadOffset,Steer,Velocity,XPos,YPos,LeadVehPosX,LeadVehPosY,FollowCarBrakingStatus
1.7570000000000001,2.366664,-2.4999999999999998e-06,-0.0003705,1.22537,0.0,0,359.9993215,91.042603,10000.0,2.0,0.021679,5.421679,-0.005929,-0.0002715,-741.042603,14.521677,2.310232,1629.744985,0.0
1.79,2.399998,-5e-07,-0.000307,1.22537,0.0,0,359.999322,91.042603,10000.0,2.0,0.021679,5.421679,-0.005929,-9.5e-05,-741.042603,14.521677,2.310232,1629.744985,0.0
1.8245,2.433331,1e-06,-0.00022649999999999998,1.308809,0.0,0,359.999322,91.042603,854208.1852435,2.0,0.021679,5.421679,-0.005929,0.000126,-741.042603,14.521677,2.310232,1629.744985,0.0
1.8565,2.466664,1.5e-06,-0.000171,1.308809,0.0,0,359.999321,91.042603,362714.904943,2.0,0.021679,5.421679,-0.005929,0.000252,-741.042603,14.521677,2.310232,1629.744985,0.0
1.8904999999999998,2.499998,1e-06,-0.00015099999999999998,1.308809,0.0,0,359.99932,91.042603,416072.90094049997,2.0,0.021679,5.421679,-0.005929,0.000222,-741.042603,14.521677,2.310232,1629.744985,0.0
1.9235,2.533331,0.0,-0.0001455,1.308809,0.0,0,359.99932,91.042603,1760931.512826,2.0,0.021679,5.421679,-0.005929,7.9e-05,-741.042603,14.521677,2.310232,1629.744985,0.0
1.957,2.566664,-1e-06,-0.00012350000000000002,1.308809,0.0,0,359.99932,91.042603,10000.0,2.0,0.021679,5.421679,-0.005929,-8.45e-05,-741.042603,14.521677,2.310232,1629.744985,0.0
1.99,2.599997,-1e-06,-6.65e-05,1.308809,0.0,0,359.9993205,91.042603,10000.0,2.0,0.021679,5.421679,-0.005941,-0.0001665,-741.042603,14.521677,2.310232,1629.744985,0.0
2.0235000000000003,2.633331,1e-06,1.7500000000000002e-05,1.308809,0.0,0,359.999321,91.042603,10000.0,2.0,0.021679,5.421679,-0.0059995,-0.0001395,-741.042603,14.521677,2.310232,1629.744985,0.0
2.0575,2.666664,6.5000000000000004e-06,0.0001015,1.308809,0.0,0,359.999321,91.042603,10000.0,2.0,0.021679,5.421679,-0.0061205,-4.0499999999999995e-05,-741.042603,14.521677,2.310232,1629.744985,0.0
2.09,2.699997,1.1e-05,0.00015749999999999998,1.308809,0.0,0,359.999321,91.042603,1739744.0394755,2.0,0.021679,5.421679,-0.0061530000000000005,5.8e-05,-741.042603,14.521677,2.310232,1629.744985,0.0
2.1235,2.733331,1.2499999999999999e-05,0.000176,1.308809,0.0,0,359.99932,91.042603,930186.319916,2.0,0.021679,5.421679,-0.006123,9.75e-05,-741.042603,14.521677,2.310232,1629.744985,0.0
2.1574999999999998,2.766664,9.999999999999999e-06,0.000161,1.308809,0.0,0,359.9993195,91.042603,1505835.6031445,2.0,0.021679,5.421679,-0.0061135,6.400000000000001e-05,-741.042603,14.521677,2.310232,1629.744985,0.0
2.19,2.799997,7e-06,0.000127,1.308809,0.0,0,359.999319,91.042603,4753004.185428,2.0,0.021679,5.421679,-0.0061865,-1.0500000000000001e-05,-741.042603,14.521677,2.310232,1629.744985,0.0
2.2235,2.833331,5.5e-06,9.300000000000001e-05,1.308809,0.0,0,359.99932,91.042603,10000.0,2.0,0.021679,5.421679,-0.006215,-7.400000000000001e-05,-741.042603,14.521677,2.310232,1629.744985,0.0
2.2565,2.866664,2.4999999999999998e-06,7.25e-05,1.308809,0.0,0,359.9993205,91.042603,10000.0,2.0,0.021679,5.421679,-0.0061395,-8.999999999999999e-05,-741.042603,14.521677,2.310232,1629.744985,0.0
2.29,2.899997,-3e-06,6.4e-05,1.308809,0.0,0,359.999321,91.042603,10000.0,2.0,0.021679,5.421679,-0.0060795,-5.4499999999999997e-05,-741.042603,14.521677,2.310232,1629.744985,0.0
2.324,2.93333,-6.5000000000000004e-06,5.9e-05,1.308809,0.0,0,359.999321,91.042603,2479500.161607,2.0,0.021679,5.421679,-0.0061235000000000005,2.5000000000000006e-06,-741.042603,14.521677,2.310232,1629.744985,0.0
2.3575,2.966664,-4.9999999999999996e-06,4.8e-05,1.308809,0.0,0,359.99932,91.042603,1904266.528627,2.0,0.021679,5.421679,-0.006232,4.9e-05,-741.042603,14.521677,2.310232,1629.744985,0.0
2.39,2.999997,2e-06,2.65e-05,1.308809,0.0,0,359.99932,91.042603,1598269.0036984999,2.0,0.021679,5.421679,-0.006359999999999999,5.7e-05,-741.042603,14.521677,2.310232,1629.744985,0.0
2.424,3.03333,9.5e-06,-2.0000000000000003e-06,1.308809,0.0,0,359.9993195,91.042603,3293063.615052,2.0,0.021679,5.421679,-0.0063844999999999996,3.0500000000000003e-05,-741.042603,14.521677,2.310232,1629.744985,0.0
2.457,3.066664,1.35e-05,-3.15e-05,1.308809,0.0,0,359.999319,91.042603,83184413.3358495,2.0,0.021679,5.421679,-0.006358000000000001,-8e-06,-741.042603,14.521677,2.310232,1629.744985,0.0
2.4905,3.099997,1.1e-05,-5.35e-05,1.308809,0.0,0,359.999319,91.042603,10000.0,2.0,0.021679,5.421679,-0.006293,-3.45e-05,-741.042603,14.521677,2.310232,1629.744985,0.0
2.524,3.13333,4.9999999999999996e-06,-6.1e-05,1.308809,0.0,0,359.999319,91.042603,10000.0,2.0,0.021679,5.421679,-0.0062585,-3.3e-05,-741.042603,14.521677,2.310232,1629.744985,0.0
2.557,3.166663,-5e-07,-5.85e-05,1.308809,0.0,0,359.9993195,91.042603,10000.0,2.0,0.021679,5.421679,-0.0062594999999999994,-9e-06,-741.042603,14.521677,2.310232,1629.744985,0.0
2.59,3.199997,-4.5e-06,-5.1e-05,1.308809,0.0,0,359.9993205,91.042603,5102504.109962,2.0,0.021679,5.421679,-0.0062615,1.9999999999999998e-05,-741.042603,14.521677,2.310232,1629.744985,0.0
2.6235,3.23333,-6.5000000000000004e-06,-4.4999999999999996e-05,1.308809,0.0,0,359.9993215,91.042603,2556322.581529,2.0,0.021679,5.421679,-0.0062635,3.5499999999999996e-05,-741.042603,14.521677,2.310232,1629.744985,0.0
2.657,3.266663,-7e-06,-4.25e-05,1.308809,0.0,0,359.999321,91.042603,2982174.1070455,2.0,0.021679,5.421679,-0.0062655,3.0999999999999995e-05,-741.042603,14.521677,2.310232,1629.744985,0.0
2.6905,3.299997,-6.5000000000000004e-06,-3.9e-05,1.308809,0.0,0,359.99932,91.042603,10938421.776326999,2.0,0.021679,5.421679,-0.006268,1.15e-05,-741.042603,14.521677,2.310232,1629.744985,0.0
2.7235,3.33333,-4.5e-06,-3.3e-05,1.308809,0.0,0,359.9993185,91.042603,10000.0,2.0,0.021679,5.421679,-0.0062705,-9.5e-06,-741.042603,14.521677,2.310232,1629.744985,0.0
2.757,3.366663,-2e-06,-2.1000000000000002e-05,1.308809,0.0,0,359.999318,91.042603,10000.0,2.0,0.021679,5.421679,-0.0062605000000000004,-2.1000000000000002e-05,-741.042603,14.521677,2.310232,1629.744985,0.0
2.7904999999999998,3.399997,-5e-07,-5e-06,1.308809,0.0,0,359.9993185,91.042603,10000.0,2.0,0.021679,5.421679,-0.0062380000000000005,-1.7500000000000002e-05,-741.042603,14.521677,2.310232,1629.744985,0.0
2.824,3.43333,0.0,1.15e-05,1.308809,0.0,0,359.99932,91.042603,10000.0,2.0,0.021679,5.421679,-0.0061785,-4.5e-06,-741.042603,14.521677,2.310232,1629.744985,0.0
2.8575,3.466663,0.0,2.3e-05,1.308809,0.0,0,359.999321,91.042603,13491075.659096,2.0,0.021679,5.421679,-0.0062699999999999995,7.500000000000001e-06,-741.042603,14.521677,2.310232,1629.744985,0.0
